STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,240.3,2/1/85,,,,,0,"T,,0,2400",0,"T,,0",13,",,0",,,11,",,0",-3,",,0",,,3.2,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,240.3,2/2/85,,,,,0,"T,,0,2400",0,"T,,0",13,",,0",,,12,",,0",-4,",,0",,,3.1,",,X",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,240.3,2/3/85,,,,,0,"T,,0,2400",0.2,",,0",13,",,0",,,19,",,0",-8,",,0",,,3.1,",,X",1,",,0",,,,,1,",,X",,,,,,,,,,,,,,,,,,,,,1,",,0"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,240.3,2/4/85,,,,,0,",,0,2400",0,",,0",13,",,0",,,19,",,0",-7,",,0",,,2.9,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,240.3,2/5/85,,,,,0.08,",,0,2400",2.1,",,0",12,",,0",,,19,",,0",12,",,0",,,3,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,240.3,2/6/85,,,,,0.02,",,0,2400",0.4,",,0",13,",,0",,,24,",,0",2,",,0",,,3,",,X",1,",,0",1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,240.3,2/7/85,,,,,0.03,",,0,2400",0.6,",,0",13,",,0",,,21,",,0",0,",,0",,,3.2,",,X",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,240.3,2/8/85,,,,,0,"T,,0,2400",0,"T,,0",12,",,0",,,19,",,0",-11,",,0",,,2.5,",,X",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,240.3,2/9/85,,,,,0,",,0,2400",0,",,0",12,",,0",,,24,",,0",-12,",,0",,,2.7,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,240.3,2/10/85,,,,,0,"T,,0,2400",0.3,",,0",12,",,0",,,21,",,0",15,",,0",,,2.7,",,X",1,",,0",,,,,,,,,1,",,0",,,,,,,,,,,1,",,X",1,",,0",1,",,X",1,",,0"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,240.3,2/11/85,,,,,0.54,",,0,2400",8.8,",,0",14,",,0",,,28,",,0",20,",,0",,,4.3,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,240.3,2/12/85,,,,,0.13,",,0,2400",2.1,",,0",18,",,0",,,29,",,0",20,",,0",,,4.3,",,X",,,,,,,,,,,1,",,0",,,,,,,,,,,1,",,X",1,",,0",,,1,",,0"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,240.3,2/13/85,,,,,0.22,",,0,2400",3.3,",,0",20,",,0",,,25,",,0",20,",,0",,,5.6,",,X",,,,,,,,,,,1,",,0",,,,,,,,,,,1,",,X",1,",,0",,,1,",,0"
