STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/3/11,,,,,,,,,0.02,",,N",1,",,N",23,",,N",,,,,,,,,,,,,1.1,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/4/11,,,,,,,,,0,",,N",0,",,N",20.5,",,N",,,,,,,,,,,,,1.1,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/24/11,,,,,,,,,0.15,",,N",1.5,",,N",4.3,",,N",,,,,,,,,,,,,0.6,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/19/15,,,,,,,,,0.2,",,N",5.5,",,N",23,",,N",,,,,,,,,,,,,1.2,",,N",0.2,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/20/15,,,,,,,,,0.15,",,N",2,",,N",24,",,N",,,,,,,,,,,,,1.4,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/21/15,,,,,,,,,0.01,",,N",0.1,",,N",23.5,",,N",,,,,,,,,,,,,1.3,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/22/15,,,,,,,,,0,"T,,N",0,"T,,N",22.2,",,N",,,,,,,,,,,,,1.3,",,N",0,"T,,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/23/15,,,,,,,,,0.04,",,N",0.7,",,N",22,",,N",,,,,,,,,,,,,1.2,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/24/15,,,,,,,,,0.01,",,N",0.1,",,N",22,",,N",,,,,,,,,,,,,1.4,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1MIOW0002,"HOLLAND 3.9 NNE, MI US",42.822957,-86.06784,188.1,2/25/15,,,,,,,,,0.15,",,N",3,",,N",24.5,",,N",,,,,,,,,,,,,1.4,",,N",0.1,",,N",,,,,,,,,,,,,,,,,,,,,,
