STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/1/61,,,,,,,,,0,",,0",0,",,0",5,",,0",35,",,0",23,",,0",25,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/2/61,,,,,,,,,0.02,",,0",1,",,0",6,",,0",30,",,0",21,",,0",28,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/3/61,,,,,,,,,0.22,",,0",4,",,0",10,",,0",31,",,0",21,",,0",22,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/4/61,,,,,,,,,0,"T,,0",0,"T,,0",10,",,0",29,",,0",11,",,0",27,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/5/61,,,,,,,,,0,",,0",0,",,0",7,",,0",39,",,0",17,",,0",35,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/6/61,,,,,,,,,0,",,0",0,",,0",5,",,0",42,",,0",27,",,0",38,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/7/61,,,,,,,,,0,"T,,0",0,",,0",4,",,0",40,",,0",34,",,0",35,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/8/61,,,,,,,,,0,"T,,0",0,"T,,0",4,",,0",37,",,0",18,",,0",21,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/9/61,,,,,,,,,0,"T,,0",0,"T,,0",4,",,0",28,",,0",19,",,0",27,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/10/61,,,,,,,,,0,",,0",0,",,0",3,",,0",36,",,0",19,",,0",34,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/11/61,,,,,,,,,0,",,0",0,",,0",2,",,0",39,",,0",19,",,0",36,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/12/61,,,,,,,,,0,",,0",0,",,0",1,",,0",42,",,0",16,",,0",38,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/13/61,,,,,,,,,0,",,0",0,",,0",1,",,0",48,",,0",29,",,0",46,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/14/61,,,,,,,,,0,",,0",0,",,0",1,",,0",48,",,0",25,",,0",33,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/15/61,,,,,,,,,0,",,0",0,",,0",1,",,0",34,",,0",29,",,0",32,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/16/61,,,,,,,,,0,",,0",0,",,0",0,",,0",34,",,0",18,",,0",31,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/17/61,,,,,,,,,0,",,0",0,",,0",0,",,0",43,",,0",29,",,0",40,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/18/61,,,,,,,,,0,",,0",0,",,0",0,",,0",41,",,0",28,",,0",28,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/19/61,,,,,,,,,0,",,0",0,",,0",0,",,0",31,",,0",19,",,0",24,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/20/61,,,,,,,,,0.05,",,0",3,",,0",2,",,0",27,",,0",8,",,0",20,",,0",,,,,,,,,,,,,,
