STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/1/00,,,,,,,0,"P,,0",0,"P,,0",,,42,",,0",29,",,0",41,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/2/00,,,,,,,0,"P,,0",0,"P,,0",,,50,",,0",34,",,0",45,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/3/00,,,,,,,0,"P,,0",0,"P,,0",,,63,",,0",30,",,0",32,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/4/00,,,,,,,,,0,"T,,0",,,34,",,0",29,",,0",30,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/5/00,,,,,,,,,0.5,",,0",,,34,",,0",25,",,0",25,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/6/00,,,,,,,0,"P,,0",0,"P,,0",,,30,",,0",24,",,0",29,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/7/00,,,,,,,,,,,,,46,",,0",29,",,0",29,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/8/00,,,,,,,0,"P,,0",0,"P,,0",,,40,",,0",20,",,0",35,",I,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/9/00,,,,,,,0,"P,,0",0,"P,,0",,,51,",,0",37,",I,0",37,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/10/00,,,,,,,0.16,",,0",0,"P,,0",,,41,",,0",38,",,0",41,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/11/00,,,,,,,0,"P,,0",0,"P,,0",,,44,",,0",35,",,0",35,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/12/00,,,,,,,0,"P,,0",0,"P,,0",,,34,",,0",34,",,0",34,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/13/00,,,,,,,,,2,",,0",,,38,",,0",21,",,0",23,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/14/00,,,,,,,0,"P,,0",0,"P,,0",,,35,",,0",32,",I,0",32,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/15/00,,,,,,,0,"P,,0",0,"P,,0",0,"T,,0",29,",I,0",16,",,0",27,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/16/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",41,",,0",28,",,0",30,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/17/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",31,",,0",9,",,0",11,",I,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/18/00,,,,,,,,,,,,,30,",,0",17,",I,0",20,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/19/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",33,",,0",18,",,0",21,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/20/00,,,,,,,,,2,",,0",,,33,",,0",16,",,0",18,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/21/00,,,,,,,0,"P,,0",0,"P,,0",,,31,",,0",12,",,0",20,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/22/00,,,,,,,0,"P,,0",0,"P,,0",3,",,0",23,",,0",11,",,0",13,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/23/00,,,,,,,0,"P,,0",0,"P,,0",3,",,0",22,",,0",7,",,0",12,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/24/00,,,,,,,,,2.5,",,0",,,22,",,0",13,",,0",17,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/25/00,,,,,,,0,"P,,0",0,"P,,0",,,27,",,0",10,",,0",19,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/26/00,,,,,,,0,"P,,0",0,"P,,0",1,",,0",28,",,0",7,",,0",11,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/27/00,,,,,,,0,"P,,0",0,"P,,0",,,20,",,0",-2,",,0",-1,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/28/00,,,,,,,0,"P,,0",0,"P,,0",,,24,",,0",-1,",,0",16,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/29/00,,,,,,,0,"P,,0",0,"P,,0",,,32,",,0",9,",,0",10,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/30/00,,,,,,,,,1,",,0",,,30,",,0",10,",,0",25,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/31/00,,,,,,,0,"P,,0",0,"P,,0",3,",,0",32,",,0",21,",,0",28,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/1/00,,,,,,,0,"P,,0",0,"P,,0",,,34,",,0",26,",,0",29,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/2/00,,,,,,,0,"P,,0",0,"P,,0",,,24,",I,0",4,",,0",20,",I,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/3/00,,,,,,,0,"P,,0",0,"P,,0",,,36,",,0",22,",I,0",30,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/4/00,,,,,,,0,"P,,0",0,"P,,0",,,39,",,0",22,",,0",29,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/5/00,,,,,,,0,"P,,0",0,"P,,0",,,31,",,0",21,",,0",28,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/6/00,,,,,,,0,"P,,0",0,"P,,0",,,35,",,0",12,",,0",21,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/7/00,,,,,,,0,"P,,0",0,"P,,0",,,35,",,0",20,",,0",33,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/8/00,,,,,,,0,"P,,0",0,"P,,0",,,38,",,0",12,",,0",15,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/9/00,,,,,,,0,"P,,0",0,"P,,0",,,40,",,0",35,",I,0",16,",I,0",,,,,,,,,,,,,,
